quote,attribution
"At a time when we were considering moving away from Schoology, Brad helped us see the platform's potential and gave us the confidence to invest further.","Adrian Pilgrim, The Industry School"
"Brad's most remarkable quality is his ability to support teachers resistant to change. Even the most hesitant became confident users.","Andrew Bergh, High School Principal"
"Several of Brad's past clients have mentioned his ability a number of years on from his departure.","Phillip Lemon, CanWest Media"
"Brad has assisted with a significant improvement in tourism industry buy-in to the core marketing activities of Hawke's Bay Tourism.","Hamish Lowry, Hawke's Bay Tourism"
